best_loss,iteration,loss,timepoint,tuna
24433.277199265143,1,24433.277199265143,165.0,hyperband
24433.277199265143,2,29557.346582650483,485.0,hyperband
24433.277199265143,3,30201.64334766709,1045.0,hyperband
28776.138954537735,1,28776.138954537735,10.0,hyperband
28776.138954537735,2,31654.524139825804,15.0,hyperband
27930.112449948487,3,27930.112449948487,15.0,hyperband
27930.112449948487,4,28257.200127312048,30.0,hyperband
27930.112449948487,5,32368.871128612187,35.0,hyperband
27930.112449948487,6,33416.7679405083,40.0,hyperband
27930.112449948487,7,42149.20373574078,45.0,hyperband
27930.112449948487,8,29254.911223445684,50.0,hyperband
27930.112449948487,9,28979.397811116094,60.0,hyperband
27930.112449948487,10,38658.447844954266,65.0,hyperband
27930.112449948487,11,35493.636804941605,70.0,hyperband
27930.112449948487,12,28593.181019651205,75.0,hyperband
27930.112449948487,13,28241.093682818584,80.0,hyperband
27930.112449948487,14,35224.69931819362,85.0,hyperband
27930.112449948487,15,29610.028419486127,90.0,hyperband
27930.112449948487,16,32294.2105726964,95.0,hyperband
27930.112449948487,17,31163.469530501152,100.0,hyperband
27930.112449948487,18,28036.1024574297,105.0,hyperband
27079.68963175124,19,27079.68963175124,110.0,hyperband
27079.68963175124,20,32676.20615205745,115.0,hyperband
27079.68963175124,21,30963.917997811666,120.0,hyperband
27079.68963175124,22,30462.233699010103,125.0,hyperband
27079.68963175124,23,31871.919562287618,130.0,hyperband
23151.89841960309,24,23151.89841960309,135.0,hyperband
23151.89841960309,25,33819.00480711587,135.0,hyperband
23151.89841960309,26,28542.20064964787,145.0,hyperband
23151.89841960309,27,26804.257951052656,155.0,hyperband
23151.89841960309,28,33109.23263580285,160.0,hyperband
23151.89841960309,29,30464.59241205937,170.0,hyperband
23151.89841960309,30,34341.8796395276,180.0,hyperband
22242.448724303267,31,22242.448724303267,185.0,hyperband
22242.448724303267,32,28780.01706959149,190.0,hyperband
22242.448724303267,33,35822.902776813615,195.0,hyperband
22242.448724303267,34,28811.17697441997,200.0,hyperband
22242.448724303267,35,27918.290077609883,205.0,hyperband
22242.448724303267,36,32622.844402870538,205.0,hyperband
22242.448724303267,37,26758.64613673666,215.0,hyperband
22242.448724303267,38,29745.261230386513,225.0,hyperband
22242.448724303267,39,31570.798247961982,230.0,hyperband
22242.448724303267,40,29873.87245464621,230.0,hyperband
22242.448724303267,41,29751.454341408724,240.0,hyperband
22242.448724303267,42,26865.871198335804,245.0,hyperband
22242.448724303267,43,29288.00038849933,250.0,hyperband
22242.448724303267,45,26885.61378722681,265.0,hyperband
22242.448724303267,46,30402.358273492002,265.0,hyperband
22242.448724303267,47,28601.110349660405,270.0,hyperband
22242.448724303267,48,36211.27437413668,275.0,hyperband
22242.448724303267,49,29438.048198568154,275.0,hyperband
22242.448724303267,50,31298.81066628728,285.0,hyperband
22242.448724303267,51,35436.730002640834,290.0,hyperband
22242.448724303267,52,30003.85526590693,300.0,hyperband
22242.448724303267,53,29531.02075557808,305.0,hyperband
22242.448724303267,54,26266.899015085102,310.0,hyperband
22242.448724303267,55,22578.636695412533,315.0,hyperband
22242.448724303267,56,29125.384013139992,325.0,hyperband
22242.448724303267,57,33822.7694334243,330.0,hyperband
22242.448724303267,58,28478.638963263416,330.0,hyperband
22242.448724303267,59,31553.266667757423,335.0,hyperband
22242.448724303267,60,33774.712611980845,340.0,hyperband
22242.448724303267,61,30963.139781200203,345.0,hyperband
22242.448724303267,62,31214.01489925708,350.0,hyperband
22242.448724303267,63,25361.12200365801,355.0,hyperband
22242.448724303267,64,31920.859108527915,360.0,hyperband
22242.448724303267,65,33812.233592858836,365.0,hyperband
22242.448724303267,66,28671.95749598353,375.0,hyperband
22242.448724303267,67,47197.12172219039,380.0,hyperband
22242.448724303267,68,37214.54817865098,390.0,hyperband
22242.448724303267,69,24485.191023034044,395.0,hyperband
22242.448724303267,70,25278.07267536256,400.0,hyperband
22242.448724303267,71,31832.122004018787,405.0,hyperband
22242.448724303267,72,28480.343126333784,415.0,hyperband
22242.448724303267,73,32704.558737469015,430.0,hyperband
22242.448724303267,74,32150.5408532107,435.0,hyperband
22242.448724303267,75,26855.65559655625,445.0,hyperband
22242.448724303267,76,31567.88233549724,455.0,hyperband
22242.448724303267,77,35458.757859994235,465.0,hyperband
22242.448724303267,78,32367.504399626847,470.0,hyperband
22242.448724303267,79,29411.476947850588,475.0,hyperband
22242.448724303267,80,33790.75166683801,480.0,hyperband
22242.448724303267,81,29510.450885332884,485.0,hyperband
22242.448724303267,82,26709.803653465224,490.0,hyperband
22242.448724303267,83,29187.372281332217,495.0,hyperband
22242.448724303267,84,29923.94049662743,500.0,hyperband
22242.448724303267,85,32654.490041746816,510.0,hyperband
20774.740685505367,86,20774.740685505367,510.0,hyperband
20774.740685505367,87,29775.773126626118,515.0,hyperband
20774.740685505367,88,37713.356897156176,525.0,hyperband
20774.740685505367,89,30355.6319373761,530.0,hyperband
20774.740685505367,90,30396.86488864821,535.0,hyperband
20774.740685505367,92,30352.02454745224,545.0,hyperband
20774.740685505367,93,27803.624603303808,550.0,hyperband
20774.740685505367,94,29783.335172558287,565.0,hyperband
20774.740685505367,95,28671.57619751412,565.0,hyperband
20774.740685505367,96,30945.544987758847,570.0,hyperband
20774.740685505367,97,26127.74761898896,575.0,hyperband
20774.740685505367,98,31783.412659295645,580.0,hyperband
20774.740685505367,99,26068.18766145639,590.0,hyperband
20774.740685505367,100,30624.161185259025,595.0,hyperband
20774.740685505367,101,27295.33706101329,600.0,hyperband
20774.740685505367,102,31326.735130800567,605.0,hyperband
20774.740685505367,103,27445.93865022121,610.0,hyperband
20774.740685505367,104,25190.964554522998,610.0,hyperband
20774.740685505367,105,31141.581449063822,620.0,hyperband
20774.740685505367,106,27355.760248105747,625.0,hyperband
20774.740685505367,107,21042.632473523336,640.0,hyperband
20774.740685505367,108,32644.73337003273,645.0,hyperband
