loss,best_loss,timepoint,iteration,tuna
29684.70285,29684.70285,3.833782196,1,optuna
23478.3447,23478.3447,6.620324373,2,optuna
29353.5244,23478.3447,9.949424267,3,optuna
34635.41366,23478.3447,25.94128561,4,optuna
28534.59834,23478.3447,40.01563931,5,optuna
30383.95554,23478.3447,46.18616581,6,optuna
26367.1036,23478.3447,49.96505809,7,optuna
27302.82531,23478.3447,54.0012641,8,optuna
26370.43533,23478.3447,58.72263408,9,optuna
23401.99682,23401.99682,64.23987818,10,optuna
40758.68094,23401.99682,70.49488783,11,optuna
34964.85421,23401.99682,91.89065719,12,optuna
29081.10709,23401.99682,95.58577752,13,optuna
27751.25218,23401.99682,101.9736574,14,optuna
24445.91687,23401.99682,114.2658119,15,optuna
30559.77427,23401.99682,118.5712955,16,optuna
32251.19205,23401.99682,121.7138982,17,optuna
33136.59962,23401.99682,135.8111775,18,optuna
21760.043,21760.043,139.6139758,19,optuna
29855.19081,21760.043,144.4979448,20,optuna
26949.37016,21760.043,153.7452109,21,optuna
22284.35118,21760.043,156.8898001,22,optuna
21722.73027,21722.73027,160.4183664,23,optuna
35423.64183,21722.73027,163.066277,24,optuna
20931.06874,20931.06874,166.7883301,25,optuna
25721.46999,20931.06874,172.6037366,26,optuna
32614.99569,20931.06874,177.0409,27,optuna
25459.82327,20931.06874,182.3925853,28,optuna
20256.03846,20256.03846,185.4822905,29,optuna
29308.45233,20256.03846,189.9274337,30,optuna
28385.53869,20256.03846,194.8004017,31,optuna
22668.105,20256.03846,198.0257781,32,optuna
23096.18064,20256.03846,201.8375788,33,optuna
29694.08112,20256.03846,204.9173412,34,optuna
20561.11042,20256.03846,208.5067365,35,optuna
30448.14521,20256.03846,211.9355698,36,optuna
20659.82412,20256.03846,214.4877388,37,optuna
28358.30727,20256.03846,217.7619486,38,optuna
27729.83585,20256.03846,220.1625605,39,optuna
22487.17895,20256.03846,223.8247643,40,optuna
24986.22307,20256.03846,226.8287368,41,optuna
22640.4536,20256.03846,230.4889491,42,optuna
23281.29961,20256.03846,235.2212808,43,optuna
23702.48862,20256.03846,238.611218,44,optuna
23169.27859,20256.03846,241.341912,45,optuna
23051.42305,20256.03846,244.3328786,46,optuna
35019.74287,20256.03846,246.5629425,47,optuna
23589.8453,20256.03846,251.0539327,48,optuna
27786.6673,20256.03846,254.303241,49,optuna
26682.42156,20256.03846,258.9228914,50,optuna
27034.935,20256.03846,262.6000471,51,optuna
21251.84146,20256.03846,266.6920712,52,optuna
24475.80437,20256.03846,271.1880822,53,optuna
24618.62961,20256.03846,274.9908743,54,optuna
30987.79031,20256.03846,278.0915811,55,optuna
24203.11788,20256.03846,282.2644548,56,optuna
26160.93655,20256.03846,287.8963926,57,optuna
26252.52722,20256.03846,293.3727446,58,optuna
26949.69874,20256.03846,296.9731092,59,optuna
29593.26469,20256.03846,301.4112422,60,optuna
28971.2257,20256.03846,304.2775738,61,optuna
22637.32594,20256.03846,308.6069915,62,optuna
24024.10292,20256.03846,312.4955981,63,optuna
23873.1791,20256.03846,316.0760176,64,optuna
24809.98358,20256.03846,320.8472607,65,optuna
28571.91086,20256.03846,324.9073913,66,optuna
25977.40356,20256.03846,328.0749192,67,optuna
19793.99358,19793.99358,331.7052093,68,optuna
25524.96198,19793.99358,335.2347703,69,optuna
35442.37552,19793.99358,338.0013723,70,optuna
31494.52833,19793.99358,341.23768,71,optuna
20740.1317,19793.99358,345.615011,72,optuna
20481.02467,19793.99358,349.9304602,73,optuna
20679.51202,19793.99358,353.4889102,74,optuna
23285.41183,19793.99358,356.8938358,75,optuna
25522.95925,19793.99358,360.5919471,76,optuna
21672.61528,19793.99358,364.9103909,77,optuna
29926.54138,19793.99358,368.0070794,78,optuna
26750.24178,19793.99358,371.38308,79,optuna
24031.18988,19793.99358,375.5180204,80,optuna
26001.30205,19793.99358,378.5150049,81,optuna
18210.43678,18210.43678,382.9002419,82,optuna
18567.40946,18210.43678,387.0212524,83,optuna
25606.6124,18210.43678,391.4015028,84,optuna
20928.83125,18210.43678,395.5065243,85,optuna
24536.92055,18210.43678,398.8076949,86,optuna
24736.30923,18210.43678,405.2105963,87,optuna
31532.31285,18210.43678,408.7900279,88,optuna
18973.70367,18210.43678,412.2776959,89,optuna
29338.7569,18210.43678,417.5555787,90,optuna
25023.46075,18210.43678,421.3673801,91,optuna
19406.03193,18210.43678,424.4311557,92,optuna
20399.13313,18210.43678,427.40025,93,optuna
22171.44318,18210.43678,430.4012203,94,optuna
22115.4254,18210.43678,433.1279302,95,optuna
27849.53857,18210.43678,436.2565622,96,optuna
27687.82028,18210.43678,439.6953599,97,optuna
28570.56168,18210.43678,443.2997196,98,optuna
28041.94041,18210.43678,446.1281633,99,optuna
28117.14247,18210.43678,449.4821825,100,optuna
28007.64782,18210.43678,452.9818261,101,optuna
20084.63734,18210.43678,455.7254908,102,optuna
20363.20644,18210.43678,459.5123541,103,optuna
21360.57882,18210.43678,462.6030552,104,optuna
22858.08726,18210.43678,465.348748,105,optuna
24699.89399,18210.43678,467.9587624,106,optuna
26536.26247,18210.43678,470.6196423,107,optuna
37426.41792,18210.43678,473.3294041,108,optuna
34097.26983,18210.43678,476.5178688,109,optuna
31573.35713,18210.43678,479.9706354,110,optuna
20600.63783,18210.43678,482.7432222,111,optuna
19453.05742,18210.43678,485.6504085,112,optuna
20012.14509,18210.43678,488.8079998,113,optuna
21799.80908,18210.43678,491.619473,114,optuna
20732.50745,18210.43678,494.6852751,115,optuna
22332.26309,18210.43678,497.9944289,116,optuna
25079.57769,18210.43678,501.2876153,117,optuna
25190.35569,18210.43678,504.3723683,118,optuna
19787.32718,18210.43678,507.4571164,119,optuna
20590.75826,18210.43678,510.3593507,120,optuna
21685.80458,18210.43678,514.3526363,121,optuna
20915.65442,18210.43678,517.6059656,122,optuna
25429.29899,18210.43678,520.3027523,123,optuna
15726.83715,15726.83715,523.7944179,124,optuna
19341.00472,15726.83715,527.5304277,125,optuna
24516.61207,15726.83715,530.8196251,126,optuna
24022.75838,15726.83715,534.4967861,127,optuna
18713.63207,15726.83715,537.676285,128,optuna
23587.08926,15726.83715,540.7261264,129,optuna
17606.55919,15726.83715,544.3663874,130,optuna
17107.37116,15726.83715,547.910285,131,optuna
18191.94768,15726.83715,551.3782203,132,optuna
19388.76254,15726.83715,554.502449,133,optuna
27164.32037,15726.83715,557.5807369,134,optuna
19208.41637,15726.83715,560.4889596,135,optuna
21346.95659,15726.83715,563.5447865,136,optuna
22951.70318,15726.83715,566.5507443,137,optuna
18814.23411,15726.83715,569.7711315,138,optuna
17923.90424,15726.83715,573.1141896,139,optuna
18131.27117,15726.83715,576.6597052,140,optuna
20155.71185,15726.83715,580.155355,141,optuna
19761.4808,15726.83715,583.6161015,142,optuna
19814.38991,15726.83715,586.7547102,143,optuna
24481.61913,15726.83715,590.0488932,144,optuna
