loss,best_loss,timepoint,iteration,tuna
24965.763282005224,24965.763282005224,5.0,1,gs
28637.3009012652,24965.763282005224,10.0,2,gs
28479.619766500742,24965.763282005224,25.0,3,gs
32821.65924568898,24965.763282005224,25.0,4,gs
25606.252772536343,24965.763282005224,30.0,5,gs
22326.029134495766,22326.029134495766,35.0,6,gs
26623.09619802908,22326.029134495766,40.0,7,gs
28873.107751319767,22326.029134495766,50.0,8,gs
32473.508413962874,22326.029134495766,60.0,9,gs
28476.13928248737,22326.029134495766,70.0,10,gs
28565.215715559047,22326.029134495766,75.0,11,gs
28560.57206136477,22326.029134495766,80.0,12,gs
28827.912605684876,22326.029134495766,85.0,13,gs
30722.612222365802,22326.029134495766,90.0,14,gs
30060.788776881567,22326.029134495766,100.0,15,gs
30015.52514734605,22326.029134495766,120.0,16,gs
29959.583472351846,22326.029134495766,125.0,17,gs
30317.664617676983,22326.029134495766,135.0,18,gs
33073.27008951335,22326.029134495766,145.0,19,gs
30067.507919113745,22326.029134495766,155.0,20,gs
32756.08386934878,22326.029134495766,165.0,21,gs
34013.73795144834,22326.029134495766,170.0,22,gs
25930.969728483593,22326.029134495766,180.0,23,gs
29028.95009235492,22326.029134495766,180.0,24,gs
30994.422324681127,22326.029134495766,190.0,25,gs
38163.07231678769,22326.029134495766,205.0,26,gs
30138.770785293364,22326.029134495766,210.0,27,gs
25886.345808084145,22326.029134495766,220.0,28,gs
39401.15989266933,22326.029134495766,225.0,29,gs
30049.15266014201,22326.029134495766,240.0,30,gs
30988.608183071803,22326.029134495766,245.0,31,gs
30111.96634815707,22326.029134495766,250.0,32,gs
31850.75406867347,22326.029134495766,260.0,33,gs
32016.977621685386,22326.029134495766,270.0,34,gs
29389.633331667865,22326.029134495766,275.0,35,gs
32241.55941568826,22326.029134495766,285.0,36,gs
31755.432898614414,22326.029134495766,290.0,37,gs
32961.797972461165,22326.029134495766,295.0,38,gs
29557.6492426564,22326.029134495766,310.0,39,gs
33944.77791475201,22326.029134495766,320.0,40,gs
32635.151929599746,22326.029134495766,325.0,41,gs
29503.552641526123,22326.029134495766,340.0,42,gs
29261.05696125913,22326.029134495766,345.0,43,gs
34001.74264889232,22326.029134495766,355.0,44,gs
