,loss,best_loss,timepoint,iteration,tuna
0,32588.578360000003,32588.578360000003,5,1,gs
1,30036.77215,30036.77215,10,2,gs
2,29782.23908,29782.23908,20,3,gs
3,31979.495,29782.23908,25,4,gs
4,28947.96777,28947.96777,40,5,gs
5,29289.402510000004,28947.96777,45,6,gs
6,31474.94817,28947.96777,55,7,gs
7,30330.23649,28947.96777,60,8,gs
8,25900.60796,25900.60796,65,9,gs
9,30884.877780000006,25900.60796,70,10,gs
10,33948.11747,25900.60796,75,11,gs
11,20095.79371,20095.79371,80,12,gs
12,31272.40699,20095.79371,85,13,gs
13,28730.88555,20095.79371,115,14,gs
14,37274.72556,20095.79371,125,15,gs
15,30326.11662,20095.79371,130,16,gs
16,39146.26659,20095.79371,140,17,gs
17,27226.653260000006,20095.79371,145,18,gs
18,30840.1112,20095.79371,150,19,gs
19,35754.09409,20095.79371,155,20,gs
20,30414.219060000003,20095.79371,165,21,gs
21,27189.51724,20095.79371,165,22,gs
22,37516.13593,20095.79371,170,23,gs
23,27735.55969,20095.79371,175,24,gs
24,28549.50887,20095.79371,180,25,gs
25,31739.64589,20095.79371,180,26,gs
26,62609.36969,20095.79371,190,27,gs
27,30051.15654,20095.79371,195,28,gs
28,27130.2694,20095.79371,200,29,gs
29,33109.51203,20095.79371,210,30,gs
30,27477.94079,20095.79371,215,31,gs
31,50866.17277,20095.79371,220,32,gs
32,31346.19417,20095.79371,225,33,gs
33,29903.773310000004,20095.79371,230,34,gs
34,28135.65827,20095.79371,235,35,gs
35,30363.75539,20095.79371,240,36,gs
36,40077.25609,20095.79371,245,37,gs
37,28804.129160000004,20095.79371,255,38,gs
38,31980.73184,20095.79371,260,39,gs
39,26549.18786,20095.79371,265,40,gs
40,31971.09458,20095.79371,270,41,gs
41,30640.55373,20095.79371,275,42,gs
42,24509.15587,20095.79371,285,43,gs
43,25858.22831,20095.79371,290,44,gs
44,28041.8571,20095.79371,295,45,gs
45,35509.59801,20095.79371,300,46,gs
46,32096.1264,20095.79371,310,47,gs
47,24071.37708,20095.79371,315,48,gs
48,27965.745960000004,20095.79371,320,49,gs
49,29937.62895,20095.79371,325,50,gs
50,36523.10261,20095.79371,330,51,gs
51,31113.03287,20095.79371,335,52,gs
52,35112.858239999994,20095.79371,340,53,gs
53,27797.715480000006,20095.79371,345,54,gs
54,27069.0211,20095.79371,355,55,gs
55,31933.83848,20095.79371,360,56,gs
56,31533.74628,20095.79371,365,57,gs
57,27086.97034,20095.79371,370,58,gs
58,32405.392260000004,20095.79371,375,59,gs
59,31945.0507,20095.79371,385,60,gs
60,29811.8248,20095.79371,390,61,gs
61,29731.59095,20095.79371,390,62,gs
62,28789.2083,20095.79371,395,63,gs
63,27994.95171,20095.79371,405,64,gs
64,29427.21261,20095.79371,415,65,gs
65,30658.54935,20095.79371,420,66,gs
66,31750.87747,20095.79371,425,67,gs
67,27183.38305,20095.79371,430,68,gs
68,24809.08255,20095.79371,435,69,gs
69,30907.34269,20095.79371,435,70,gs
70,35936.51259,20095.79371,445,71,gs
71,31186.03547,20095.79371,450,72,gs
72,33006.41356,20095.79371,460,73,gs
73,35643.80712,20095.79371,465,74,gs
74,32428.72378,20095.79371,475,75,gs
75,31285.22846,20095.79371,475,76,gs
76,31601.9826,20095.79371,480,77,gs
77,24503.67624,20095.79371,485,78,gs
78,28246.34798,20095.79371,490,79,gs
79,29400.42087,20095.79371,495,80,gs
80,30455.19732,20095.79371,505,81,gs
81,32605.37652,20095.79371,510,82,gs
82,29123.30115,20095.79371,515,83,gs
83,32403.69109,20095.79371,520,84,gs
84,27324.22234,20095.79371,525,85,gs
85,31270.48157,20095.79371,540,86,gs
86,30729.48617,20095.79371,545,87,gs
87,33120.57688,20095.79371,550,88,gs
88,30122.22377,20095.79371,555,89,gs
89,33639.65527,20095.79371,560,90,gs
90,28053.90446,20095.79371,570,91,gs
