loss,best_loss,timepoint,Iteration,tuna
32588.57836,32588.57836,5,1,gs
30036.77215,30036.77215,10,2,gs
29782.23908,29782.23908,20,3,gs
31979.495,29782.23908,25,4,gs
28947.96777,28947.96777,40,5,gs
29289.40251,28947.96777,45,6,gs
31474.94817,28947.96777,55,7,gs
30330.23649,28947.96777,60,8,gs
25900.60796,25900.60796,65,9,gs
30884.87778,25900.60796,70,10,gs
33948.11747,25900.60796,75,11,gs
20095.79371,20095.79371,80,12,gs
31272.40699,20095.79371,85,13,gs
28730.88555,20095.79371,115,14,gs
37274.72556,20095.79371,125,15,gs
30326.11662,20095.79371,130,16,gs
39146.26659,20095.79371,140,17,gs
27226.65326,20095.79371,145,18,gs
30840.1112,20095.79371,150,19,gs
35754.09409,20095.79371,155,20,gs
30414.21906,20095.79371,165,21,gs
27189.51724,20095.79371,165,22,gs
37516.13593,20095.79371,170,23,gs
27735.55969,20095.79371,175,24,gs
28549.50887,20095.79371,180,25,gs
31739.64589,20095.79371,180,26,gs
62609.36969,20095.79371,190,27,gs
30051.15654,20095.79371,195,28,gs
27130.2694,20095.79371,200,29,gs
33109.51203,20095.79371,210,30,gs
27477.94079,20095.79371,215,31,gs
50866.17277,20095.79371,220,32,gs
31346.19417,20095.79371,225,33,gs
29903.77331,20095.79371,230,34,gs
28135.65827,20095.79371,235,35,gs
30363.75539,20095.79371,240,36,gs
40077.25609,20095.79371,245,37,gs
28804.12916,20095.79371,255,38,gs
31980.73184,20095.79371,260,39,gs
26549.18786,20095.79371,265,40,gs
31971.09458,20095.79371,270,41,gs
30640.55373,20095.79371,275,42,gs
24509.15587,20095.79371,285,43,gs
25858.22831,20095.79371,290,44,gs
28041.8571,20095.79371,295,45,gs
35509.59801,20095.79371,300,46,gs
32096.1264,20095.79371,310,47,gs
24071.37708,20095.79371,315,48,gs
27965.74596,20095.79371,320,49,gs
29937.62895,20095.79371,325,50,gs
36523.10261,20095.79371,330,51,gs
31113.03287,20095.79371,335,52,gs
35112.85824,20095.79371,340,53,gs
27797.71548,20095.79371,345,54,gs
27069.0211,20095.79371,355,55,gs
31933.83848,20095.79371,360,56,gs
31533.74628,20095.79371,365,57,gs
27086.97034,20095.79371,370,58,gs
32405.39226,20095.79371,375,59,gs
31945.0507,20095.79371,385,60,gs
29811.8248,20095.79371,390,61,gs
29731.59095,20095.79371,390,62,gs
28789.2083,20095.79371,395,63,gs
27994.95171,20095.79371,405,64,gs
29427.21261,20095.79371,415,65,gs
30658.54935,20095.79371,420,66,gs
31750.87747,20095.79371,425,67,gs
27183.38305,20095.79371,430,68,gs
24809.08255,20095.79371,435,69,gs
30907.34269,20095.79371,435,70,gs
35936.51259,20095.79371,445,71,gs
31186.03547,20095.79371,450,72,gs
33006.41356,20095.79371,460,73,gs
35643.80712,20095.79371,465,74,gs
32428.72378,20095.79371,475,75,gs
31285.22846,20095.79371,475,76,gs
31601.9826,20095.79371,480,77,gs
24503.67624,20095.79371,485,78,gs
28246.34798,20095.79371,490,79,gs
29400.42087,20095.79371,495,80,gs
30455.19732,20095.79371,505,81,gs
32605.37652,20095.79371,510,82,gs
29123.30115,20095.79371,515,83,gs
32403.69109,20095.79371,520,84,gs
27324.22234,20095.79371,525,85,gs
31270.48157,20095.79371,540,86,gs
30729.48617,20095.79371,545,87,gs
33120.57688,20095.79371,550,88,gs
30122.22377,20095.79371,555,89,gs
33639.65527,20095.79371,560,90,gs
28053.90446,20095.79371,570,91,gs
27170.67389,20095.79371,575,92,gs
35694.20648,20095.79371,580,93,gs
32779.92151,20095.79371,590,94,gs
32583.71216,20095.79371,595,95,gs
41997.51805,20095.79371,600,96,gs
26681.79367,20095.79371,600,97,gs
28646.98735,20095.79371,615,98,gs
30857.36489,20095.79371,625,99,gs
30546.52471,20095.79371,630,100,gs
29400.36334,29400.36334,10,1,gs
31274.38697,29400.36334,20,2,gs
37263.362,29400.36334,25,3,gs
26345.25833,26345.25833,30,4,gs
23642.19504,23642.19504,35,5,gs
35772.65869,23642.19504,40,6,gs
28042.90418,23642.19504,50,7,gs
29765.27881,23642.19504,50,8,gs
30144.98414,23642.19504,55,9,gs
30183.18971,23642.19504,60,10,gs
28339.51835,23642.19504,70,11,gs
28211.70853,23642.19504,80,12,gs
31604.98679,23642.19504,85,13,gs
31223.89241,23642.19504,90,14,gs
60246.78061,23642.19504,100,15,gs
37622.95798,23642.19504,105,16,gs
25181.1243,23642.19504,115,17,gs
32822.11669,23642.19504,125,18,gs
29878.61924,23642.19504,130,19,gs
25939.19068,23642.19504,130,20,gs
33428.14925,23642.19504,140,21,gs
28162.87084,23642.19504,145,22,gs
31551.57245,23642.19504,150,23,gs
29493.37492,23642.19504,160,24,gs
32126.27776,23642.19504,165,25,gs
30147.9836,23642.19504,170,26,gs
35442.38943,23642.19504,175,27,gs
32641.14363,23642.19504,185,28,gs
34729.45197,23642.19504,185,29,gs
29517.10302,23642.19504,195,30,gs
24048.71825,23642.19504,200,31,gs
24950.79593,23642.19504,205,32,gs
26710.84406,23642.19504,210,33,gs
37341.44444,23642.19504,220,34,gs
30053.31822,23642.19504,225,35,gs
32360.70099,23642.19504,225,36,gs
32356.49263,23642.19504,230,37,gs
29761.69861,23642.19504,235,38,gs
33071.22376,23642.19504,245,39,gs
29705.73106,23642.19504,250,40,gs
29995.17661,23642.19504,260,41,gs
30897.34814,23642.19504,265,42,gs
31055.65985,23642.19504,280,43,gs
30386.271,23642.19504,280,44,gs
30176.02374,23642.19504,290,45,gs
31458.55638,23642.19504,290,46,gs
32354.53831,23642.19504,300,47,gs
25034.485,23642.19504,300,48,gs
31617.67901,23642.19504,305,49,gs
34171.52758,23642.19504,310,50,gs
30599.02974,23642.19504,315,51,gs
32834.47653,23642.19504,320,52,gs
29999.60282,23642.19504,330,53,gs
29519.9525,23642.19504,340,54,gs
30983.99801,23642.19504,340,55,gs
29813.87891,23642.19504,345,56,gs
35353.69711,23642.19504,350,57,gs
32044.07138,23642.19504,360,58,gs
30328.0124,23642.19504,365,59,gs
34027.75505,23642.19504,370,60,gs
27164.897,23642.19504,375,61,gs
33564.64593,23642.19504,380,62,gs
30302.77298,23642.19504,385,63,gs
29707.47444,23642.19504,395,64,gs
33751.92054,23642.19504,405,65,gs
28807.11691,23642.19504,410,66,gs
35191.7299,23642.19504,410,67,gs
29185.98138,23642.19504,420,68,gs
29111.50198,23642.19504,425,69,gs
30590.64315,23642.19504,435,70,gs
30126.44842,23642.19504,440,71,gs
28891.59208,23642.19504,445,72,gs
30653.99111,23642.19504,455,73,gs
61437.40875,23642.19504,460,74,gs
22150.09265,22150.09265,465,75,gs
32153.7258,22150.09265,470,76,gs
32027.28814,22150.09265,475,77,gs
25631.59404,22150.09265,475,78,gs
27983.68337,22150.09265,485,79,gs
27904.89478,22150.09265,490,80,gs
32495.6072,22150.09265,495,81,gs
33442.7288,22150.09265,500,82,gs
28904.71261,22150.09265,505,83,gs
28331.46377,22150.09265,510,84,gs
28746.35496,22150.09265,525,85,gs
29679.55181,22150.09265,530,86,gs
33861.59979,22150.09265,540,87,gs
29922.60681,22150.09265,545,88,gs
27919.41958,22150.09265,555,89,gs
29076.98469,22150.09265,560,90,gs
30766.33558,22150.09265,565,91,gs
35988.73243,22150.09265,575,92,gs
24216.38927,22150.09265,575,93,gs
29265.8295,22150.09265,585,94,gs
29169.12497,22150.09265,585,95,gs
25104.024,22150.09265,590,96,gs
27403.50489,22150.09265,595,97,gs
28348.05004,22150.09265,600,98,gs
29804.12015,22150.09265,610,99,gs
24490.30378,22150.09265,615,100,gs
25062.26716,25062.26716,5,1,gs
30856.98783,25062.26716,15,2,gs
28903.69604,25062.26716,20,3,gs
