loss,best_loss,timepoint,iteration,tuna
28309.98765,28309.98765,3.439276457,1,hyperband
31720.29398,28309.98765,8.768838644,2,hyperband
28432.89626,28309.98765,12.45183706,3,hyperband
30785.27761,28309.98765,17.00739121,4,hyperband
29651.35204,28309.98765,23.18650484,5,hyperband
27285.04741,27285.04741,28.89619613,6,hyperband
33898.16995,27285.04741,36.35538793,7,hyperband
37813.19163,27285.04741,38.98620605,8,hyperband
26460.81792,26460.81792,42.81579447,9,hyperband
32825.77159,26460.81792,54.40459466,10,hyperband
32315.03083,26460.81792,57.58576989,11,hyperband
20390.32193,20390.32193,59.86550927,12,hyperband
31027.25482,20390.32193,62.22171044,13,hyperband
32314.60045,20390.32193,65.28942037,14,hyperband
30104.40568,20390.32193,68.71512794,15,hyperband
27340.26634,20390.32193,78.46798539,16,hyperband
35653.95493,20390.32193,80.46697426,17,hyperband
25163.12131,20390.32193,84.37991357,18,hyperband
26877.84881,20390.32193,87.98581719,19,hyperband
28669.33565,20390.32193,91.74796581,20,hyperband
39298.41934,20390.32193,97.33866,21,hyperband
66896.53396,20390.32193,102.5505519,22,hyperband
31789.90098,20390.32193,104.625062,23,hyperband
34256.13996,20390.32193,109.8043916,24,hyperband
33151.60848,20390.32193,115.0510631,25,hyperband
32587.58107,20390.32193,125.8165536,26,hyperband
27137.00747,20390.32193,129.9442906,27,hyperband
23107.72469,20390.32193,133.05509,28,hyperband
28738.63265,20390.32193,137.3331795,29,hyperband
35600.93378,20390.32193,139.9707606,30,hyperband
26414.40645,20390.32193,143.3506129,31,hyperband
26086.49381,20390.32193,145.7886233,32,hyperband
25811.54169,20390.32193,153.7171617,33,hyperband
27957.34989,20390.32193,159.8118861,34,hyperband
31012.06114,20390.32193,171.1910336,35,hyperband
26417.91579,20390.32193,176.6679311,36,hyperband
31115.11557,20390.32193,179.2147524,37,hyperband
28718.62515,20390.32193,183.7153099,38,hyperband
30046.37186,20390.32193,194.1760519,39,hyperband
26803.92847,20390.32193,202.4025478,40,hyperband
27720.61554,20390.32193,206.5530615,41,hyperband
28096.71231,20390.32193,208.5072916,42,hyperband
29867.36587,20390.32193,213.469033,43,hyperband
33403.57083,20390.32193,217.7956383,44,hyperband
32071.0062,20390.32193,221.0611861,45,hyperband
28953.64843,20390.32193,228.2300379,46,hyperband
23614.07196,20390.32193,231.3120017,47,hyperband
32851.44545,20390.32193,240.9505813,48,hyperband
28024.57701,20390.32193,244.5101378,49,hyperband
30913.13898,20390.32193,253.5280912,50,hyperband
43243.62687,20390.32193,259.6487525,51,hyperband
26161.35256,20390.32193,261.7826359,52,hyperband
33056.78761,20390.32193,266.5748584,53,hyperband
26360.50996,20390.32193,273.9592767,54,hyperband
24282.62236,20390.32193,282.7890973,55,hyperband
36832.245,20390.32193,287.5064883,56,hyperband
31872.92823,20390.32193,292.5084794,57,hyperband
29643.8164,20390.32193,297.877331,58,hyperband
29925.33122,20390.32193,307.4306085,59,hyperband
24701.53088,20390.32193,314.3451042,60,hyperband
35829.78231,20390.32193,320.5382435,61,hyperband
26058.67674,20390.32193,325.3404584,62,hyperband
31870.84307,20390.32193,329.861882,63,hyperband
31996.06014,20390.32193,332.4460897,64,hyperband
27073.25243,20390.32193,340.044431,65,hyperband
31655.50388,20390.32193,343.6580129,66,hyperband
31114.38552,20390.32193,350.6998847,67,hyperband
40411.6134,20390.32193,359.0618002,68,hyperband
25315.58203,20390.32193,364.0071065,69,hyperband
22658.7092,20390.32193,367.5148647,70,hyperband
29699.75012,20390.32193,371.1288698,71,hyperband
52030.10418,20390.32193,375.5985048,72,hyperband
29786.26032,20390.32193,380.887821,73,hyperband
50743.23276,20390.32193,390.8164561,74,hyperband
31949.4151,20390.32193,394.8091185,75,hyperband
32463.03638,20390.32193,398.3388681,76,hyperband
34314.41414,20390.32193,403.5145502,77,hyperband
33555.12288,20390.32193,407.0792396,78,hyperband
32933.28721,20390.32193,412.3252385,79,hyperband
31131.59372,20390.32193,414.8912423,80,hyperband
32260.28905,20390.32193,426.5767834,81,hyperband
35793.25015,20390.32193,432.2804615,82,hyperband
31490.99804,20390.32193,437.487855,83,hyperband
28762.32783,20390.32193,444.249954,84,hyperband
48289.15146,20390.32193,449.2126977,85,hyperband
27918.21907,20390.32193,456.0442662,86,hyperband
34983.30013,20390.32193,461.2561016,87,hyperband
34129.03189,20390.32193,466.602443,88,hyperband
30279.59452,20390.32193,474.015281,89,hyperband
26172.46224,20390.32193,477.4461741,90,hyperband
30357.05421,20390.32193,481.5789409,91,hyperband
28917.82656,20390.32193,487.3889463,92,hyperband
23150.29184,20390.32193,492.5546427,93,hyperband
29032.01179,20390.32193,497.2701399,94,hyperband
39830.06159,20390.32193,503.1026061,95,hyperband
29151.10763,20390.32193,506.4117472,96,hyperband
30728.22371,20390.32193,511.38483,97,hyperband
30057.81888,20390.32193,522.0191443,98,hyperband
49062.83813,20390.32193,530.5031552,99,hyperband
31098.99242,20390.32193,537.9929562,100,hyperband
33548.15419,33548.15419,5.548904896,1,hyperband
35507.36432,33548.15419,8.692513704,2,hyperband
30897.03613,30897.03613,14.10548687,3,hyperband
31556.72579,30897.03613,25.94133854,4,hyperband
29214.34589,29214.34589,31.21578193,5,hyperband
28823.33206,28823.33206,40.10714197,6,hyperband
29730.91871,28823.33206,45.87205195,7,hyperband
36885.91736,28823.33206,48.26543832,8,hyperband
37120.82533,28823.33206,57.84362006,9,hyperband
29217.08087,28823.33206,63.48354912,10,hyperband
34275.78345,28823.33206,68.58831882,11,hyperband
30610.59745,28823.33206,73.72614598,12,hyperband
29204.98359,28823.33206,76.6791029,13,hyperband
31168.5904,28823.33206,81.48269129,14,hyperband
27533.82735,27533.82735,87.19052339,15,hyperband
36050.88956,27533.82735,96.88267374,16,hyperband
30438.3011,27533.82735,104.50231,17,hyperband
38622.17441,27533.82735,135.0176008,18,hyperband
30430.09495,27533.82735,144.1663699,19,hyperband
26926.73975,26926.73975,149.1330752,20,hyperband
35360.08058,26926.73975,153.0508366,21,hyperband
30737.6028,26926.73975,162.2068696,22,hyperband
28707.01053,26926.73975,169.065764,23,hyperband
30552.74659,26926.73975,178.9743252,24,hyperband
32584.25565,26926.73975,182.2292929,25,hyperband
27034.19421,26926.73975,186.6403506,26,hyperband
26331.62656,26331.62656,194.0585115,27,hyperband
31800.97285,26331.62656,202.8815973,28,hyperband
28315.55871,26331.62656,208.8890941,29,hyperband
25985.32356,25985.32356,212.9302258,30,hyperband
30708.00753,25985.32356,223.6762908,31,hyperband
46694.55673,25985.32356,229.5133293,32,hyperband
40990.84911,25985.32356,235.8839903,33,hyperband
28721.74924,25985.32356,239.2876048,34,hyperband
24045.31324,24045.31324,243.0020232,35,hyperband
29994.27854,24045.31324,249.0579786,36,hyperband
30214.29423,24045.31324,254.866924,37,hyperband
