loss,best_loss,timepoint,Iteration,tuna
28309.98765,28309.98765,5,1,hyperband
31720.29398,28309.98765,10,2,hyperband
28432.89626,28309.98765,10,3,hyperband
30785.27761,28309.98765,15,4,hyperband
29651.35204,28309.98765,25,5,hyperband
27285.04741,27285.04741,30,6,hyperband
33898.16995,27285.04741,35,7,hyperband
37813.19163,27285.04741,40,8,hyperband
26460.81792,26460.81792,45,9,hyperband
32825.77159,26460.81792,55,10,hyperband
32315.03083,26460.81792,60,11,hyperband
20390.32193,20390.32193,60,12,hyperband
31027.25482,20390.32193,60,13,hyperband
32314.60045,20390.32193,65,14,hyperband
30104.40568,20390.32193,70,15,hyperband
27340.26634,20390.32193,80,16,hyperband
35653.95493,20390.32193,80,17,hyperband
25163.12131,20390.32193,85,18,hyperband
26877.84881,20390.32193,90,19,hyperband
28669.33565,20390.32193,90,20,hyperband
39298.41934,20390.32193,95,21,hyperband
66896.53396,20390.32193,105,22,hyperband
31789.90098,20390.32193,105,23,hyperband
34256.13996,20390.32193,110,24,hyperband
33151.60848,20390.32193,115,25,hyperband
32587.58107,20390.32193,125,26,hyperband
27137.00747,20390.32193,130,27,hyperband
23107.72469,20390.32193,135,28,hyperband
28738.63265,20390.32193,135,29,hyperband
35600.93378,20390.32193,140,30,hyperband
26414.40645,20390.32193,145,31,hyperband
26086.49381,20390.32193,145,32,hyperband
25811.54169,20390.32193,155,33,hyperband
27957.34989,20390.32193,160,34,hyperband
31012.06114,20390.32193,170,35,hyperband
26417.91579,20390.32193,175,36,hyperband
31115.11557,20390.32193,180,37,hyperband
28718.62515,20390.32193,185,38,hyperband
30046.37186,20390.32193,195,39,hyperband
26803.92847,20390.32193,200,40,hyperband
27720.61554,20390.32193,205,41,hyperband
28096.71231,20390.32193,210,42,hyperband
29867.36587,20390.32193,215,43,hyperband
33403.57083,20390.32193,220,44,hyperband
32071.0062,20390.32193,220,45,hyperband
28953.64843,20390.32193,230,46,hyperband
23614.07196,20390.32193,230,47,hyperband
32851.44545,20390.32193,240,48,hyperband
28024.57701,20390.32193,245,49,hyperband
30913.13898,20390.32193,255,50,hyperband
43243.62687,20390.32193,260,51,hyperband
26161.35256,20390.32193,260,52,hyperband
33056.78761,20390.32193,265,53,hyperband
26360.50996,20390.32193,275,54,hyperband
24282.62236,20390.32193,285,55,hyperband
36832.245,20390.32193,290,56,hyperband
31872.92823,20390.32193,295,57,hyperband
29643.8164,20390.32193,300,58,hyperband
29925.33122,20390.32193,305,59,hyperband
24701.53088,20390.32193,315,60,hyperband
35829.78231,20390.32193,320,61,hyperband
26058.67674,20390.32193,325,62,hyperband
31870.84307,20390.32193,330,63,hyperband
31996.06014,20390.32193,330,64,hyperband
27073.25243,20390.32193,340,65,hyperband
31655.50388,20390.32193,345,66,hyperband
31114.38552,20390.32193,350,67,hyperband
40411.6134,20390.32193,360,68,hyperband
25315.58203,20390.32193,365,69,hyperband
22658.7092,20390.32193,370,70,hyperband
29699.75012,20390.32193,370,71,hyperband
52030.10418,20390.32193,375,72,hyperband
29786.26032,20390.32193,380,73,hyperband
50743.23276,20390.32193,390,74,hyperband
31949.4151,20390.32193,395,75,hyperband
32463.03638,20390.32193,400,76,hyperband
34314.41414,20390.32193,405,77,hyperband
33555.12288,20390.32193,405,78,hyperband
32933.28721,20390.32193,410,79,hyperband
31131.59372,20390.32193,415,80,hyperband
32260.28905,20390.32193,425,81,hyperband
35793.25015,20390.32193,430,82,hyperband
31490.99804,20390.32193,435,83,hyperband
28762.32783,20390.32193,445,84,hyperband
48289.15146,20390.32193,450,85,hyperband
27918.21907,20390.32193,455,86,hyperband
34983.30013,20390.32193,460,87,hyperband
34129.03189,20390.32193,465,88,hyperband
30279.59452,20390.32193,475,89,hyperband
26172.46224,20390.32193,475,90,hyperband
30357.05421,20390.32193,480,91,hyperband
28917.82656,20390.32193,485,92,hyperband
23150.29184,20390.32193,495,93,hyperband
29032.01179,20390.32193,495,94,hyperband
39830.06159,20390.32193,505,95,hyperband
29151.10763,20390.32193,505,96,hyperband
30728.22371,20390.32193,510,97,hyperband
30057.81888,20390.32193,520,98,hyperband
49062.83813,20390.32193,530,99,hyperband
31098.99242,20390.32193,540,100,hyperband
33548.15419,33548.15419,5,1,hyperband
35507.36432,33548.15419,10,2,hyperband
30897.03613,30897.03613,15,3,hyperband
31556.72579,30897.03613,25,4,hyperband
29214.34589,29214.34589,30,5,hyperband
28823.33206,28823.33206,40,6,hyperband
29730.91871,28823.33206,45,7,hyperband
36885.91736,28823.33206,50,8,hyperband
37120.82533,28823.33206,60,9,hyperband
29217.08087,28823.33206,65,10,hyperband
34275.78345,28823.33206,70,11,hyperband
30610.59745,28823.33206,75,12,hyperband
29204.98359,28823.33206,75,13,hyperband
31168.5904,28823.33206,80,14,hyperband
27533.82735,27533.82735,85,15,hyperband
36050.88956,27533.82735,95,16,hyperband
30438.3011,27533.82735,105,17,hyperband
38622.17441,27533.82735,135,18,hyperband
30430.09495,27533.82735,145,19,hyperband
26926.73975,26926.73975,150,20,hyperband
35360.08058,26926.73975,155,21,hyperband
30737.6028,26926.73975,160,22,hyperband
28707.01053,26926.73975,170,23,hyperband
30552.74659,26926.73975,180,24,hyperband
32584.25565,26926.73975,180,25,hyperband
27034.19421,26926.73975,185,26,hyperband
26331.62656,26331.62656,195,27,hyperband
31800.97285,26331.62656,205,28,hyperband
28315.55871,26331.62656,210,29,hyperband
25985.32356,25985.32356,215,30,hyperband
30708.00753,25985.32356,225,31,hyperband
46694.55673,25985.32356,230,32,hyperband
40990.84911,25985.32356,235,33,hyperband
28721.74924,25985.32356,240,34,hyperband
24045.31324,24045.31324,245,35,hyperband
29994.27854,24045.31324,250,36,hyperband
30214.29423,24045.31324,255,37,hyperband
34485.57814,24045.31324,260,38,hyperband
28144.68888,24045.31324,260,39,hyperband
25566.04909,24045.31324,265,40,hyperband
35317.70613,24045.31324,270,41,hyperband
28680.70916,24045.31324,280,42,hyperband
27108.7507,24045.31324,285,43,hyperband
27328.25401,24045.31324,290,44,hyperband
29421.98724,24045.31324,295,45,hyperband
27782.98117,24045.31324,305,46,hyperband
25799.3602,24045.31324,310,47,hyperband
28781.17953,24045.31324,315,48,hyperband
34565.15649,24045.31324,320,49,hyperband
32924.49294,24045.31324,325,50,hyperband
28354.50979,24045.31324,325,51,hyperband
31775.50247,24045.31324,335,52,hyperband
32832.84423,24045.31324,340,53,hyperband
27456.22255,24045.31324,340,54,hyperband
32464.1208,24045.31324,345,55,hyperband
31534.74987,24045.31324,355,56,hyperband
31633.92732,24045.31324,360,57,hyperband
31754.79512,24045.31324,365,58,hyperband
33075.95355,24045.31324,370,59,hyperband
33775.91781,24045.31324,370,60,hyperband
28377.04876,24045.31324,380,61,hyperband
27777.3249,24045.31324,380,62,hyperband
48285.9484,24045.31324,385,63,hyperband
33763.97251,24045.31324,390,64,hyperband
32418.60967,24045.31324,395,65,hyperband
50592.22188,24045.31324,400,66,hyperband
37467.03793,24045.31324,405,67,hyperband
28560.9151,24045.31324,410,68,hyperband
36197.08273,24045.31324,420,69,hyperband
31776.11208,24045.31324,425,70,hyperband
36280.86816,24045.31324,430,71,hyperband
32811.11526,24045.31324,440,72,hyperband
23677.84272,23677.84272,450,73,hyperband
26814.13804,23677.84272,455,74,hyperband
30049.91661,23677.84272,460,75,hyperband
28370.06544,23677.84272,470,76,hyperband
28682.65505,23677.84272,470,77,hyperband
29586.60673,23677.84272,475,78,hyperband
62608.16637,23677.84272,480,79,hyperband
58677.27886,23677.84272,485,80,hyperband
26834.17007,23677.84272,495,81,hyperband
30113.34453,23677.84272,500,82,hyperband
26524.4905,23677.84272,510,83,hyperband
38379.59003,23677.84272,510,84,hyperband
32474.15763,23677.84272,515,85,hyperband
32678.67269,23677.84272,525,86,hyperband
32017.37822,23677.84272,530,87,hyperband
27710.89999,23677.84272,535,88,hyperband
30339.11945,23677.84272,540,89,hyperband
26935.68488,23677.84272,540,90,hyperband
29463.31305,23677.84272,550,91,hyperband
26227.26827,23677.84272,555,92,hyperband
32711.17256,23677.84272,555,93,hyperband
35847.6933,23677.84272,565,94,hyperband
28504.34204,23677.84272,570,95,hyperband
41215.08869,23677.84272,580,96,hyperband
30108.51967,23677.84272,585,97,hyperband
26097.39172,23677.84272,590,98,hyperband
20668.58725,20668.58725,595,99,hyperband
32986.2071,20668.58725,600,100,hyperband
32387.87686,32387.87686,5,1,hyperband
30737.33268,30737.33268,15,2,hyperband
28332.96559,28332.96559,20,3,hyperband
31325.39409,28332.96559,25,4,hyperband
26125.10193,26125.10193,30,5,hyperband
30344.36742,26125.10193,40,6,hyperband
27886.5323,26125.10193,45,7,hyperband
33563.02128,26125.10193,55,8,hyperband
42798.74363,26125.10193,65,9,hyperband
40443.73478,26125.10193,70,10,hyperband
27713.69141,26125.10193,75,11,hyperband
31957.78339,26125.10193,80,12,hyperband
30497.5654,26125.10193,85,13,hyperband
27447.12815,26125.10193,85,14,hyperband
31870.58994,26125.10193,90,15,hyperband
31088.35946,26125.10193,95,16,hyperband
29115.64965,26125.10193,100,17,hyperband
73704.9488,26125.10193,110,18,hyperband
30457.48411,26125.10193,120,19,hyperband
26429.13973,26125.10193,125,20,hyperband
27743.67629,26125.10193,130,21,hyperband
36653.82208,26125.10193,140,22,hyperband
30373.26449,26125.10193,145,23,hyperband
29422.41741,26125.10193,150,24,hyperband
28334.7177,26125.10193,155,25,hyperband
28726.47813,26125.10193,160,26,hyperband
48003.43762,26125.10193,170,27,hyperband
24786.59642,24786.59642,175,28,hyperband
29378.16365,24786.59642,185,29,hyperband
32740.16079,24786.59642,190,30,hyperband
27625.99216,24786.59642,195,31,hyperband
26232.82145,24786.59642,200,32,hyperband
27291.11167,24786.59642,205,33,hyperband
78744.77643,24786.59642,215,34,hyperband
23525.45276,23525.45276,220,35,hyperband
31643.98944,23525.45276,230,36,hyperband
30324.61458,23525.45276,235,37,hyperband
28216.49321,23525.45276,240,38,hyperband
34188.51032,23525.45276,245,39,hyperband
23924.46373,23525.45276,245,40,hyperband
30811.14334,23525.45276,250,41,hyperband
37106.23369,23525.45276,260,42,hyperband
32813.38663,23525.45276,265,43,hyperband
34631.41673,23525.45276,270,44,hyperband
30915.58563,23525.45276,275,45,hyperband
31343.37794,23525.45276,280,46,hyperband
28596.8679,23525.45276,285,47,hyperband
31483.1013,23525.45276,285,48,hyperband
26608.99803,23525.45276,295,49,hyperband
28095.23906,23525.45276,295,50,hyperband
22399.83708,22399.83708,300,51,hyperband
32225.35054,22399.83708,305,52,hyperband
30532.46359,22399.83708,315,53,hyperband
32049.76205,22399.83708,325,54,hyperband
56701.66663,22399.83708,330,55,hyperband
28979.8106,22399.83708,340,56,hyperband
30597.17582,22399.83708,350,57,hyperband
32354.92438,22399.83708,355,58,hyperband
30210.87377,22399.83708,360,59,hyperband
27923.24171,22399.83708,375,60,hyperband
30151.71219,22399.83708,380,61,hyperband
27352.87618,22399.83708,385,62,hyperband
28577.90209,22399.83708,390,63,hyperband
32145.30806,22399.83708,395,64,hyperband
29339.15853,22399.83708,405,65,hyperband
30413.57117,22399.83708,410,66,hyperband
30198.05257,22399.83708,415,67,hyperband
43474.11839,22399.83708,420,68,hyperband
29130.65195,22399.83708,430,69,hyperband
27876.14792,22399.83708,435,70,hyperband
28886.05075,22399.83708,440,71,hyperband
43321.73501,22399.83708,445,72,hyperband
32153.22408,22399.83708,450,73,hyperband
31430.21263,22399.83708,460,74,hyperband
30911.26276,22399.83708,465,75,hyperband
34257.87304,22399.83708,475,76,hyperband
33911.60689,22399.83708,485,77,hyperband
35754.9232,22399.83708,485,78,hyperband
27949.94014,22399.83708,490,79,hyperband
28777.7517,22399.83708,500,80,hyperband
28079.91262,22399.83708,505,81,hyperband
27516.60781,22399.83708,510,82,hyperband
31712.20593,22399.83708,520,83,hyperband
30696.86639,22399.83708,530,84,hyperband
32786.01076,22399.83708,535,85,hyperband
28532.70093,22399.83708,540,86,hyperband
28769.66376,22399.83708,545,87,hyperband
36715.06192,22399.83708,560,88,hyperband
31978.83152,22399.83708,560,89,hyperband
28893.72028,22399.83708,565,90,hyperband
34602.06815,22399.83708,570,91,hyperband
25787.69968,22399.83708,575,92,hyperband
29148.73961,22399.83708,580,93,hyperband
27613.5028,22399.83708,585,94,hyperband
29660.21149,22399.83708,590,95,hyperband
28027.02596,22399.83708,600,96,hyperband
31492.49168,22399.83708,605,97,hyperband
27408.04569,22399.83708,610,98,hyperband
27990.49274,22399.83708,615,99,hyperband
31239.04005,22399.83708,625,100,hyperband
29375.51588,29375.51588,5,1,hyperband
21650.7821,21650.7821,10,2,hyperband
26548.41414,21650.7821,15,3,hyperband
30951.94381,21650.7821,20,4,hyperband
29302.5813,21650.7821,25,5,hyperband
25005.79993,21650.7821,25,6,hyperband
32965.94778,21650.7821,35,7,hyperband
27898.05511,21650.7821,40,8,hyperband
32233.07117,21650.7821,45,9,hyperband
47368.52874,21650.7821,60,10,hyperband
25666.58858,21650.7821,65,11,hyperband
28572.2565,21650.7821,70,12,hyperband
29584.87232,21650.7821,75,13,hyperband
29189.68961,21650.7821,80,14,hyperband
31906.90275,21650.7821,85,15,hyperband
28754.55261,21650.7821,95,16,hyperband
34160.58507,21650.7821,105,17,hyperband
33765.29805,21650.7821,105,18,hyperband
32397.2872,21650.7821,115,19,hyperband
31891.67963,21650.7821,120,20,hyperband
32103.36333,21650.7821,125,21,hyperband
30952.01974,21650.7821,130,22,hyperband
38533.34782,21650.7821,140,23,hyperband
33506.27528,21650.7821,145,24,hyperband
33986.69796,21650.7821,155,25,hyperband
41160.34748,21650.7821,160,26,hyperband
27649.50072,21650.7821,165,27,hyperband
29218.32391,21650.7821,170,28,hyperband
28967.09387,21650.7821,180,29,hyperband
35319.32671,21650.7821,190,30,hyperband
35448.61776,21650.7821,200,31,hyperband
34127.19178,21650.7821,205,32,hyperband
28456.94082,21650.7821,210,33,hyperband
30502.87985,21650.7821,215,34,hyperband
29967.791,21650.7821,215,35,hyperband
30062.21044,21650.7821,225,36,hyperband
29236.32577,21650.7821,230,37,hyperband
74666.35366,21650.7821,235,38,hyperband
33577.57296,21650.7821,240,39,hyperband
28463.74793,21650.7821,245,40,hyperband
28590.58215,21650.7821,250,41,hyperband
34064.70682,21650.7821,255,42,hyperband
26143.12095,21650.7821,260,43,hyperband
29726.93612,21650.7821,265,44,hyperband
37044.38621,21650.7821,275,45,hyperband
35288.07608,21650.7821,280,46,hyperband
29750.7927,21650.7821,290,47,hyperband
28094.45635,21650.7821,295,48,hyperband
34334.15018,21650.7821,300,49,hyperband
27925.21754,21650.7821,310,50,hyperband
30973.84736,21650.7821,315,51,hyperband
31708.54112,21650.7821,320,52,hyperband
32174.41085,21650.7821,325,53,hyperband
25618.79015,21650.7821,330,54,hyperband
27108.58262,21650.7821,335,55,hyperband
32163.97221,21650.7821,340,56,hyperband
31585.57587,21650.7821,350,57,hyperband
25713.13384,21650.7821,355,58,hyperband
33933.51707,21650.7821,360,59,hyperband
29201.94283,21650.7821,370,60,hyperband
26105.81393,21650.7821,370,61,hyperband
34701.47842,21650.7821,375,62,hyperband
36909.52347,21650.7821,385,63,hyperband
34711.16871,21650.7821,385,64,hyperband
34782.6013,21650.7821,400,65,hyperband
32685.91165,21650.7821,405,66,hyperband
29198.58377,21650.7821,410,67,hyperband
32825.9715,21650.7821,425,68,hyperband
34021.92577,21650.7821,430,69,hyperband
27480.13455,21650.7821,440,70,hyperband
30490.60943,21650.7821,440,71,hyperband
27957.41305,21650.7821,445,72,hyperband
24520.36974,21650.7821,450,73,hyperband
33295.23014,21650.7821,455,74,hyperband
31103.27086,21650.7821,460,75,hyperband
32800.60282,21650.7821,465,76,hyperband
55238.34504,21650.7821,470,77,hyperband
55421.36698,21650.7821,485,78,hyperband
32391.31677,21650.7821,485,79,hyperband
30921.70509,21650.7821,490,80,hyperband
30529.04596,21650.7821,500,81,hyperband
30392.01334,21650.7821,505,82,hyperband
29077.08673,21650.7821,510,83,hyperband
35132.9651,21650.7821,515,84,hyperband
36186.56648,21650.7821,525,85,hyperband
29683.27948,21650.7821,530,86,hyperband
29394.05252,21650.7821,530,87,hyperband
32446.06498,21650.7821,535,88,hyperband
28119.71875,21650.7821,545,89,hyperband
