loss,best_loss,timepoint,Iteration,tuna
24976.822563928174,24976.822563928174,5.0,1,optuna
29368.00415481588,24976.822563928174,10.0,2,optuna
30907.01023717016,24976.822563928174,15.0,3,optuna
38014.57041321133,24976.822563928174,20.0,4,optuna
29450.31841638915,24976.822563928174,25.0,5,optuna
26414.50476446957,24976.822563928174,30.0,6,optuna
28470.818617696445,24976.822563928174,35.0,7,optuna
31563.746303383687,24976.822563928174,45.0,8,optuna
30631.930895507467,24976.822563928174,50.0,9,optuna
30969.307173014648,24976.822563928174,60.0,10,optuna
72570.11894490957,24976.822563928174,70.0,11,optuna
23972.934366234014,23972.934366234014,75.0,12,optuna
24486.16318082541,23972.934366234014,80.0,13,optuna
22262.14994942791,22262.14994942791,85.0,14,optuna
22830.049319818638,22262.14994942791,90.0,15,optuna
30905.190054984527,22262.14994942791,100.0,16,optuna
33149.767174114015,22262.14994942791,110.0,17,optuna
29885.340310314194,22262.14994942791,115.0,18,optuna
22682.546123863154,22262.14994942791,120.0,19,optuna
26261.890241843368,22262.14994942791,130.0,20,optuna
25806.85510658235,22262.14994942791,140.0,21,optuna
22459.271364377357,22262.14994942791,145.0,22,optuna
22520.67098621612,22262.14994942791,150.0,23,optuna
23661.58034083626,22262.14994942791,155.0,24,optuna
24708.216546160875,22262.14994942791,160.0,25,optuna
25801.904710375322,22262.14994942791,165.0,26,optuna
23179.225672007746,22262.14994942791,170.0,27,optuna
28573.544781829554,22262.14994942791,180.0,28,optuna
24747.673400882584,22262.14994942791,185.0,29,optuna
26307.203726196913,22262.14994942791,190.0,30,optuna
28449.853762509698,22262.14994942791,200.0,31,optuna
23570.340864313424,22262.14994942791,210.0,32,optuna
22947.26496912895,22262.14994942791,215.0,33,optuna
22370.50087578813,22262.14994942791,225.0,34,optuna
24466.446559574284,22262.14994942791,230.0,35,optuna
23521.22362390484,22262.14994942791,235.0,36,optuna
24186.574389411457,22262.14994942791,240.0,37,optuna
29324.20530807569,22262.14994942791,245.0,38,optuna
27023.36806014213,22262.14994942791,250.0,39,optuna
29336.13350894895,22262.14994942791,265.0,40,optuna
27134.616373778284,22262.14994942791,275.0,41,optuna
23657.824683705905,22262.14994942791,280.0,42,optuna
23744.917947660473,22262.14994942791,290.0,43,optuna
24415.528690362506,22262.14994942791,295.0,44,optuna
21855.960066902357,21855.960066902357,305.0,45,optuna
65767.8315564459,21855.960066902357,315.0,46,optuna
33400.41529225628,21855.960066902357,315.0,47,optuna
22397.6958773535,21855.960066902357,325.0,48,optuna
30869.968875996885,21855.960066902357,335.0,49,optuna
27229.84612062266,21855.960066902357,340.0,50,optuna
29639.511945533348,21855.960066902357,360.0,51,optuna
25505.25017544331,21855.960066902357,370.0,52,optuna
24277.85589336809,21855.960066902357,375.0,53,optuna
32027.79472112872,21855.960066902357,380.0,54,optuna
22738.553065086093,21855.960066902357,385.0,55,optuna
25895.322131045912,21855.960066902357,395.0,56,optuna
25707.277961283282,21855.960066902357,405.0,57,optuna
32497.26374188992,21855.960066902357,410.0,58,optuna
23793.34371145211,21855.960066902357,415.0,59,optuna
27103.021548585333,21855.960066902357,425.0,60,optuna
29329.48377272382,21855.960066902357,435.0,61,optuna
23965.337719343814,21855.960066902357,440.0,62,optuna
23780.61756385647,21855.960066902357,450.0,63,optuna
22923.393581753946,21855.960066902357,455.0,64,optuna
25800.82519738956,21855.960066902357,465.0,65,optuna
27188.56938105981,21855.960066902357,475.0,66,optuna
23545.052366220323,21855.960066902357,480.0,67,optuna
23352.662527404467,21855.960066902357,490.0,68,optuna
23075.22727119197,21855.960066902357,495.0,69,optuna
28879.572361877545,21855.960066902357,505.0,70,optuna
26927.324346331137,21855.960066902357,510.0,71,optuna
23174.611504172368,21855.960066902357,520.0,72,optuna
23370.093979606278,21855.960066902357,525.0,73,optuna
21617.58412771172,21617.58412771172,530.0,74,optuna
22223.63187109496,21617.58412771172,535.0,75,optuna
22542.43533690309,21617.58412771172,540.0,76,optuna
23392.722823488675,21617.58412771172,545.0,77,optuna
23266.409669566034,21617.58412771172,550.0,78,optuna
23663.928804650543,21617.58412771172,560.0,79,optuna
31015.50271902669,21617.58412771172,565.0,80,optuna
22529.607670945865,21617.58412771172,570.0,81,optuna
25067.51451047127,21617.58412771172,575.0,82,optuna
23934.91531254006,21617.58412771172,585.0,83,optuna
23424.888915632746,21617.58412771172,590.0,84,optuna
23295.99338973294,21617.58412771172,595.0,85,optuna
22456.55494465457,21617.58412771172,600.0,86,optuna
23843.13167678583,21617.58412771172,605.0,87,optuna
24451.501690605044,21617.58412771172,610.0,88,optuna
23968.351979187235,21617.58412771172,615.0,89,optuna
24022.82112382352,21617.58412771172,620.0,90,optuna
24072.175982210865,21617.58412771172,625.0,91,optuna
23606.78170738888,21617.58412771172,635.0,92,optuna
21762.16123813032,21617.58412771172,640.0,93,optuna
22477.161412319165,21617.58412771172,650.0,94,optuna
22203.192751908824,21617.58412771172,655.0,95,optuna
24018.003585638926,21617.58412771172,665.0,96,optuna
25777.43383793498,21617.58412771172,670.0,97,optuna
22859.116738029858,21617.58412771172,675.0,98,optuna
32243.35869005988,21617.58412771172,685.0,99,optuna
25597.956306307457,21617.58412771172,690.0,100,optuna
29813.516721714663,29813.516721714663,15.0,1,optuna
32802.45136371062,29813.516721714663,20.0,2,optuna
30809.334213616563,29813.516721714663,25.0,3,optuna
32438.31816300947,29813.516721714663,35.0,4,optuna
31224.50038004689,29813.516721714663,35.0,5,optuna
28178.510953086563,28178.510953086563,45.0,6,optuna
50015.36278659927,28178.510953086563,55.0,7,optuna
30612.215724463906,28178.510953086563,60.0,8,optuna
26072.38910963061,26072.38910963061,70.0,9,optuna
27414.57153135291,26072.38910963061,75.0,10,optuna
