loss,best_loss,timepoint,iteration,tuna
34134.57153778108,34134.57153778108,10.0,1,rs
35418.359275243914,34134.57153778108,15.0,2,rs
23843.722433708248,23843.722433708248,20.0,3,rs
30719.842852814014,23843.722433708248,20.0,4,rs
25559.02159372941,23843.722433708248,30.0,5,rs
26435.64488269853,23843.722433708248,30.0,6,rs
32004.61804411498,23843.722433708248,45.0,7,rs
31968.150039292945,23843.722433708248,50.0,8,rs
28122.901312501795,23843.722433708248,55.0,9,rs
24244.402747669545,23843.722433708248,60.0,10,rs
35135.43228522461,23843.722433708248,65.0,11,rs
28765.17736721291,23843.722433708248,70.0,12,rs
35748.35835862433,23843.722433708248,90.0,13,rs
26425.231896104502,23843.722433708248,95.0,14,rs
33285.02959320846,23843.722433708248,105.0,15,rs
28191.319417569837,23843.722433708248,115.0,16,rs
27079.49649933604,23843.722433708248,125.0,17,rs
29577.891809687066,23843.722433708248,130.0,18,rs
74232.76261055701,23843.722433708248,155.0,19,rs
30887.887934623886,23843.722433708248,160.0,20,rs
28325.0538333112,23843.722433708248,175.0,21,rs
29873.192485519103,23843.722433708248,180.0,22,rs
28624.067229365664,23843.722433708248,200.0,23,rs
29479.614429338504,23843.722433708248,210.0,24,rs
33359.66509139437,23843.722433708248,215.0,25,rs
70145.0992029562,23843.722433708248,225.0,26,rs
33219.3471579595,23843.722433708248,230.0,27,rs
31725.223396691337,23843.722433708248,245.0,28,rs
27735.32408744725,23843.722433708248,245.0,29,rs
29059.64022350837,23843.722433708248,255.0,30,rs
37808.69866626689,23843.722433708248,255.0,31,rs
25475.5069717291,23843.722433708248,260.0,32,rs
26438.211451910283,23843.722433708248,265.0,33,rs
28649.634782007506,23843.722433708248,275.0,34,rs
31450.175221951427,23843.722433708248,275.0,35,rs
26580.555265203013,23843.722433708248,285.0,36,rs
28954.340200350216,23843.722433708248,295.0,37,rs
27282.317132098487,23843.722433708248,300.0,38,rs
30064.473848758418,23843.722433708248,305.0,39,rs
32215.024413672552,23843.722433708248,310.0,40,rs
29159.525380841118,23843.722433708248,325.0,41,rs
28693.629976561348,23843.722433708248,330.0,42,rs
23747.71512107446,23747.71512107446,340.0,43,rs
34423.662523690065,23747.71512107446,345.0,44,rs
26803.086120194923,23747.71512107446,355.0,45,rs
25331.482484855944,23747.71512107446,380.0,46,rs
74064.04812782013,23747.71512107446,395.0,47,rs
29545.197694401137,23747.71512107446,415.0,48,rs
29395.01918334357,23747.71512107446,420.0,49,rs
30160.921617989483,23747.71512107446,430.0,50,rs
31303.49275593868,23747.71512107446,435.0,51,rs
31114.764154458364,23747.71512107446,440.0,52,rs
22995.774031943594,22995.774031943594,445.0,53,rs
24806.157439468658,22995.774031943594,455.0,54,rs
32965.53787626004,22995.774031943594,460.0,55,rs
32965.76132655552,22995.774031943594,470.0,56,rs
28802.1582219396,22995.774031943594,485.0,57,rs
29208.315824648165,22995.774031943594,490.0,58,rs
22518.85239699216,22518.85239699216,495.0,59,rs
23484.77439630771,22518.85239699216,505.0,60,rs
31375.481053383814,22518.85239699216,510.0,61,rs
22408.380575115807,22408.380575115807,510.0,62,rs
30612.696409750806,22408.380575115807,520.0,63,rs
31051.31797413908,22408.380575115807,525.0,64,rs
27836.896591596567,22408.380575115807,535.0,65,rs
29220.780152133946,22408.380575115807,550.0,66,rs
24217.99639675605,22408.380575115807,555.0,67,rs
37838.32888728201,22408.380575115807,565.0,68,rs
28111.870136617006,22408.380575115807,575.0,69,rs
27511.195544830738,22408.380575115807,575.0,70,rs
30100.168094900888,22408.380575115807,590.0,71,rs
34228.707452270915,22408.380575115807,590.0,72,rs
31414.505405210053,22408.380575115807,600.0,73,rs
32307.446030825962,22408.380575115807,610.0,74,rs
32307.758413387553,22408.380575115807,615.0,75,rs
32236.889327614237,22408.380575115807,625.0,76,rs
26482.617934161768,22408.380575115807,630.0,77,rs
28353.04511147889,22408.380575115807,635.0,78,rs
32717.540238718175,22408.380575115807,640.0,79,rs
36300.24037840523,22408.380575115807,650.0,80,rs
24138.139505252017,22408.380575115807,655.0,81,rs
30359.419365390833,22408.380575115807,670.0,82,rs
28312.51041862609,22408.380575115807,690.0,83,rs
29318.621944721388,22408.380575115807,695.0,84,rs
31410.55870086833,22408.380575115807,700.0,85,rs
33119.82114417774,22408.380575115807,710.0,86,rs
32017.61090460166,22408.380575115807,720.0,87,rs
30479.07953297839,22408.380575115807,725.0,88,rs
28151.127278929536,22408.380575115807,730.0,89,rs
26467.501582055003,22408.380575115807,740.0,90,rs
26519.396050296767,22408.380575115807,745.0,91,rs
31314.704066819435,22408.380575115807,750.0,92,rs
32817.84311271895,22408.380575115807,755.0,93,rs
30287.1078754411,22408.380575115807,765.0,94,rs
30963.503980683407,22408.380575115807,770.0,95,rs
29046.942315122364,22408.380575115807,785.0,96,rs
28960.048683464676,22408.380575115807,785.0,97,rs
24766.218523767806,22408.380575115807,795.0,98,rs
34486.04759742934,22408.380575115807,800.0,99,rs
24124.81650738585,22408.380575115807,805.0,100,rs
25028.20163807455,22408.380575115807,815.0,101,rs
26291.134096684902,22408.380575115807,815.0,102,rs
29970.868792822817,22408.380575115807,820.0,103,rs
30226.82233585227,22408.380575115807,825.0,104,rs
29573.965981722034,22408.380575115807,835.0,105,rs
27524.43369934827,22408.380575115807,840.0,106,rs
29640.889035499393,22408.380575115807,845.0,107,rs
49681.06801140713,22408.380575115807,855.0,108,rs
28230.24864375911,22408.380575115807,860.0,109,rs
27336.028449998346,22408.380575115807,865.0,110,rs
30358.949456271417,22408.380575115807,875.0,111,rs
25922.196398465498,22408.380575115807,880.0,112,rs
36471.507849039124,22408.380575115807,895.0,113,rs
26711.754288758028,22408.380575115807,900.0,114,rs
30584.418274695865,22408.380575115807,910.0,115,rs
24245.3612671378,22408.380575115807,915.0,116,rs
35257.16928328508,22408.380575115807,920.0,117,rs
29979.96452115772,22408.380575115807,930.0,118,rs
25119.384116601093,22408.380575115807,940.0,119,rs
29848.536884686688,22408.380575115807,945.0,120,rs
28077.84028906922,22408.380575115807,955.0,121,rs
31718.389263195062,22408.380575115807,960.0,122,rs
28833.207774261216,22408.380575115807,960.0,123,rs
27440.610768314862,22408.380575115807,1000.0,124,rs
29065.508014862204,22408.380575115807,1010.0,125,rs
30210.917506196747,22408.380575115807,1020.0,126,rs
33769.328026243275,22408.380575115807,1025.0,127,rs
28119.650430511378,22408.380575115807,1045.0,128,rs
30353.89249555481,22408.380575115807,1065.0,129,rs
73969.24877386788,22408.380575115807,1070.0,130,rs
31329.40382009793,22408.380575115807,1080.0,131,rs
28878.140339566693,22408.380575115807,1090.0,132,rs
22425.357097744458,22408.380575115807,1100.0,133,rs
24476.810547587807,22408.380575115807,1110.0,134,rs
28271.285941740338,22408.380575115807,1120.0,135,rs
29225.848373938697,22408.380575115807,1125.0,136,rs
27596.05720084837,22408.380575115807,1130.0,137,rs
30028.471247989102,22408.380575115807,1140.0,138,rs
29352.23998796292,22408.380575115807,1145.0,139,rs
34349.336792619884,22408.380575115807,1150.0,140,rs
25870.896648287442,22408.380575115807,1155.0,141,rs
28109.68940983237,22408.380575115807,1175.0,142,rs
31115.38710328523,22408.380575115807,1180.0,143,rs
33455.70621237136,22408.380575115807,1190.0,144,rs
30037.159034912387,22408.380575115807,1205.0,145,rs
26298.756965481163,22408.380575115807,1215.0,146,rs
30267.290958915688,22408.380575115807,1230.0,147,rs
53698.94904863347,22408.380575115807,1240.0,148,rs
28093.11254518434,22408.380575115807,1250.0,149,rs
23486.76367123972,22408.380575115807,1255.0,150,rs
33113.30254993667,22408.380575115807,1260.0,151,rs
26988.46669951862,22408.380575115807,1265.0,152,rs
29909.372367136915,22408.380575115807,1270.0,153,rs
33277.96903030997,22408.380575115807,1275.0,154,rs
30117.612881883262,22408.380575115807,1280.0,155,rs
33677.22984107662,22408.380575115807,1285.0,156,rs
28822.37208265853,22408.380575115807,1305.0,157,rs
32640.825475370537,22408.380575115807,1310.0,158,rs
31413.180378494137,22408.380575115807,1315.0,159,rs
30400.709367833417,22408.380575115807,1320.0,160,rs
66039.26238990051,22408.380575115807,1325.0,161,rs
31102.92676023475,22408.380575115807,1335.0,162,rs
36708.68920414253,22408.380575115807,1345.0,163,rs
27156.451013363883,22408.380575115807,1355.0,164,rs
72823.05294732595,22408.380575115807,1360.0,165,rs
33621.76615767271,22408.380575115807,1365.0,166,rs
31545.66331222235,22408.380575115807,1375.0,167,rs
43841.4431570664,22408.380575115807,1380.0,168,rs
29392.4623164471,22408.380575115807,1395.0,169,rs
33533.17158918384,22408.380575115807,1400.0,170,rs
28596.168487290928,22408.380575115807,1410.0,171,rs
33045.440100034415,22408.380575115807,1425.0,172,rs
51936.5969041392,22408.380575115807,1430.0,173,rs
31202.023766859267,22408.380575115807,1435.0,174,rs
35947.26605279087,22408.380575115807,1450.0,175,rs
28480.815918479937,22408.380575115807,1455.0,176,rs
35659.46999386549,22408.380575115807,1460.0,177,rs
30904.952445650048,22408.380575115807,1470.0,178,rs
27385.59912920201,22408.380575115807,1475.0,179,rs
29955.344680464823,22408.380575115807,1480.0,180,rs
23566.98403595516,22408.380575115807,1485.0,181,rs
34915.28887143023,22408.380575115807,1485.0,182,rs
22852.641731910648,22408.380575115807,1525.0,183,rs
27797.060005640884,22408.380575115807,1535.0,184,rs
32783.294122250925,22408.380575115807,1540.0,185,rs
31597.7875107925,22408.380575115807,1545.0,186,rs
28046.139692243407,22408.380575115807,1555.0,187,rs
33304.513619673344,22408.380575115807,1560.0,188,rs
32675.239061916713,22408.380575115807,1570.0,189,rs
26559.95306355043,22408.380575115807,1580.0,190,rs
30132.989653000248,22408.380575115807,1600.0,191,rs
29881.969762946967,22408.380575115807,1600.0,192,rs
30511.85171868717,22408.380575115807,1610.0,193,rs
67725.83937226048,22408.380575115807,1625.0,194,rs
28798.137455258053,22408.380575115807,1630.0,195,rs
31874.929475061293,22408.380575115807,1630.0,196,rs
29160.362955362223,22408.380575115807,1645.0,197,rs
30991.629347639682,22408.380575115807,1645.0,198,rs
31348.52697906076,22408.380575115807,1650.0,199,rs
29675.195314871064,22408.380575115807,1660.0,200,rs
28235.69572132424,28235.69572132424,10.0,1,rs
26205.02986617608,26205.02986617608,15.0,2,rs
30648.84263531515,26205.02986617608,25.0,3,rs
28154.14745850355,26205.02986617608,30.0,4,rs
28040.562155710868,26205.02986617608,35.0,5,rs
32975.13255273334,26205.02986617608,40.0,6,rs
31263.193121867018,26205.02986617608,45.0,7,rs
29778.986141895963,26205.02986617608,50.0,8,rs
32893.49781049288,26205.02986617608,55.0,9,rs
28842.251873220262,26205.02986617608,65.0,10,rs
32586.74718138243,26205.02986617608,70.0,11,rs
23034.97461044435,23034.97461044435,80.0,12,rs
31327.427992992012,23034.97461044435,90.0,13,rs
26509.205054015645,23034.97461044435,105.0,14,rs
42399.30940983317,23034.97461044435,110.0,15,rs
29602.551039035086,23034.97461044435,120.0,16,rs
30433.860855020215,23034.97461044435,125.0,17,rs
29684.295133727486,23034.97461044435,130.0,18,rs
31569.8903628804,23034.97461044435,140.0,19,rs
26829.229038265043,23034.97461044435,150.0,20,rs
27715.93882991556,23034.97461044435,160.0,21,rs
30532.372572172408,23034.97461044435,165.0,22,rs
35878.04284834539,23034.97461044435,170.0,23,rs
30069.87111501897,23034.97461044435,180.0,24,rs
34664.262574411696,23034.97461044435,185.0,25,rs
38242.376967632015,23034.97461044435,195.0,26,rs
32234.020903955352,23034.97461044435,200.0,27,rs
26226.84767917781,23034.97461044435,205.0,28,rs
31307.10270878977,23034.97461044435,215.0,29,rs
28530.64168266812,23034.97461044435,230.0,30,rs
30096.611939615665,23034.97461044435,235.0,31,rs
32675.87488725193,23034.97461044435,240.0,32,rs
28466.865288913654,23034.97461044435,260.0,33,rs
28697.50020426209,23034.97461044435,265.0,34,rs
26478.21220224534,23034.97461044435,270.0,35,rs
28760.175735888926,23034.97461044435,280.0,36,rs
31078.5370123266,23034.97461044435,280.0,37,rs
30041.426560889955,23034.97461044435,290.0,38,rs
30107.180528808945,23034.97461044435,295.0,39,rs
37375.2990725091,23034.97461044435,305.0,40,rs
31225.954678102997,23034.97461044435,305.0,41,rs
34171.0400525548,23034.97461044435,310.0,42,rs
27324.3811712073,23034.97461044435,320.0,43,rs
32193.06196750623,23034.97461044435,330.0,44,rs
25535.24930604026,23034.97461044435,350.0,45,rs
30084.23349878884,23034.97461044435,360.0,46,rs
31335.55088569268,23034.97461044435,365.0,47,rs
28283.22371839064,23034.97461044435,370.0,48,rs
27036.20287767,23034.97461044435,380.0,49,rs
43304.0240677551,23034.97461044435,385.0,50,rs
31016.796899119767,23034.97461044435,395.0,51,rs
30460.047462271545,23034.97461044435,405.0,52,rs
24925.06084037793,23034.97461044435,415.0,53,rs
27714.323735712027,23034.97461044435,420.0,54,rs
38147.610138133576,23034.97461044435,430.0,55,rs
32364.001007139344,23034.97461044435,435.0,56,rs
33940.681339186456,23034.97461044435,445.0,57,rs
28727.126502035433,23034.97461044435,450.0,58,rs
