loss,best_loss,timepoint,iteration,tuna
31091.98358,31091.98358,7.53775835,1,rs
31506.43985,31091.98358,15.06998587,2,rs
29820.2899,29820.2899,20.93351388,3,rs
31878.52025,29820.2899,29.82229376,4,rs
35576.44604,29820.2899,38.11383724,5,rs
28586.86439,28586.86439,45.17849803,6,rs
30770.41402,28586.86439,51.51856327,7,rs
32201.36239,28586.86439,60.93275046,8,rs
30418.04496,28586.86439,68.67052245,9,rs
51771.16476,28586.86439,75.32940483,10,rs
29228.74237,28586.86439,79.00025797,11,rs
27827.96165,27827.96165,84.4011066,12,rs
30038.5781,27827.96165,91.36159968,13,rs
30227.91755,27827.96165,94.64627934,14,rs
31162.28572,27827.96165,97.90628529,15,rs
33253.60586,27827.96165,104.9436891,16,rs
30281.44251,27827.96165,110.9340465,17,rs
27190.7887,27190.7887,113.2546546,18,rs
29856.87619,27190.7887,116.5290101,19,rs
30687.78408,27190.7887,120.5630574,20,rs
29833.1765,27190.7887,126.5635388,21,rs
51076.03748,27190.7887,135.2514427,22,rs
33480.60269,27190.7887,138.8861454,23,rs
33067.87138,27190.7887,147.4432352,24,rs
24894.53444,24894.53444,152.515281,25,rs
29491.24377,24894.53444,158.6660547,26,rs
29378.51038,24894.53444,163.1986442,27,rs
36763.75758,24894.53444,172.8046398,28,rs
36153.62792,24894.53444,176.4179044,29,rs
32306.6072,24894.53444,181.4789398,30,rs
29757.0493,24894.53444,186.1247694,31,rs
34259.63087,24894.53444,188.4169397,32,rs
30017.80962,24894.53444,192.265152,33,rs
28761.21243,24894.53444,202.1977353,34,rs
32545.09212,24894.53444,214.6309714,35,rs
26129.39186,24894.53444,219.2197342,36,rs
29451.82172,24894.53444,223.7237532,37,rs
34337.31516,24894.53444,235.7584105,38,rs
31952.38708,24894.53444,238.9476538,39,rs
30354.53896,24894.53444,242.5450857,40,rs
35443.11747,24894.53444,247.7616711,41,rs
33153.4183,24894.53444,254.4851403,42,rs
37160.40682,24894.53444,259.5463107,43,rs
30139.90986,24894.53444,264.2485764,44,rs
28296.33229,24894.53444,268.3456495,45,rs
28712.33352,24894.53444,271.2172825,46,rs
26790.78435,24894.53444,274.866055,47,rs
55617.16244,24894.53444,279.6599898,48,rs
32894.53571,24894.53444,287.8462093,49,rs
38041.18867,24894.53444,292.8981643,50,rs
33706.4555,24894.53444,296.1984987,51,rs
26663.48046,24894.53444,301.3911357,52,rs
28490.97187,24894.53444,303.9286323,53,rs
27889.99619,24894.53444,307.5196276,54,rs
31308.42947,24894.53444,312.9540794,55,rs
34162.09788,24894.53444,320.2320192,56,rs
27010.1903,24894.53444,325.7679203,57,rs
34596.23007,24894.53444,330.2900069,58,rs
28048.64003,24894.53444,332.9526012,59,rs
33383.11963,24894.53444,337.6080759,60,rs
30439.97292,24894.53444,344.3159547,61,rs
28639.7866,24894.53444,348.913317,62,rs
32127.1318,24894.53444,352.5263677,63,rs
27864.04905,24894.53444,359.1679492,64,rs
33549.14823,24894.53444,364.3389122,65,rs
31771.93607,24894.53444,370.1271656,66,rs
30435.45476,24894.53444,375.2092721,67,rs
30763.55492,24894.53444,380.5112662,68,rs
27920.15115,24894.53444,385.4029369,69,rs
29071.50678,24894.53444,390.4502146,70,rs
32439.76531,24894.53444,396.7170966,71,rs
22169.64597,22169.64597,399.6402712,72,rs
32576.94138,22169.64597,402.6338224,73,rs
29743.53644,22169.64597,406.7031493,74,rs
33140.13045,22169.64597,418.19803,75,rs
36851.64616,22169.64597,422.5151227,76,rs
26630.45408,22169.64597,428.5148888,77,rs
28885.68432,22169.64597,438.4269922,78,rs
32203.06136,22169.64597,441.8303785,79,rs
45893.83865,22169.64597,447.7111955,80,rs
35053.47669,22169.64597,450.1536973,81,rs
27185.11543,22169.64597,453.2781484,82,rs
38786.2585,22169.64597,455.2218719,83,rs
31468.60486,22169.64597,463.7236514,84,rs
30166.39676,22169.64597,467.785789,85,rs
38179.42121,22169.64597,475.3611877,86,rs
47200.19182,22169.64597,484.0892391,87,rs
29457.77598,22169.64597,489.6772225,88,rs
30001.01215,22169.64597,496.0763106,89,rs
28525.32407,22169.64597,500.8589237,90,rs
25004.35106,22169.64597,507.243356,91,rs
33194.28247,22169.64597,510.4408667,92,rs
67250.59282,22169.64597,516.5352106,93,rs
23639.44174,22169.64597,520.7629597,94,rs
30217.18476,22169.64597,527.0993521,95,rs
28545.44865,22169.64597,530.7666845,96,rs
29005.83487,22169.64597,535.2985678,97,rs
29555.98465,22169.64597,543.7076001,98,rs
27529.28872,22169.64597,550.6193826,99,rs
25136.21107,22169.64597,556.5986865,100,rs
39583.52115,39583.52115,6.027173042,1,rs
30695.18097,30695.18097,12.79083014,2,rs
35100.05431,30695.18097,25.86257553,3,rs
30953.146,30695.18097,28.51235151,4,rs
33553.8227,30695.18097,33.93976092,5,rs
28847.95999,28847.95999,37.21365285,6,rs
31222.12586,28847.95999,43.17312288,7,rs
54863.82144,28847.95999,51.12766767,8,rs
34163.16102,28847.95999,56.24069023,9,rs
26261.94061,26261.94061,58.81731176,10,rs
31466.54093,26261.94061,67.92309618,11,rs
28884.98094,26261.94061,73.18187785,12,rs
29163.07207,26261.94061,78.84795475,13,rs
31516.37067,26261.94061,82.98849058,14,rs
25998.86581,25998.86581,86.64287663,15,rs
27949.49555,25998.86581,93.5468123,16,rs
25385.4385,25385.4385,99.03326011,17,rs
32122.5543,25385.4385,105.1234946,18,rs
29310.46335,25385.4385,111.2956872,19,rs
24128.5663,24128.5663,114.7469175,20,rs
34346.52249,24128.5663,117.2686698,21,rs
32292.53472,24128.5663,125.4584234,22,rs
26178.85615,24128.5663,130.2747004,23,rs
30188.29992,24128.5663,134.7822387,24,rs
26509.21937,24128.5663,142.0157607,25,rs
30363.81943,24128.5663,147.5008843,26,rs
25766.62586,24128.5663,153.2167275,27,rs
