loss,best_loss,timepoint,Iteration,tuna
28817.2170448262,28817.2170448262,5.0,1,tpe
24237.87861817885,24237.87861817885,10.0,2,tpe
34132.60583237276,24237.87861817885,20.0,3,tpe
30929.6145490148,24237.87861817885,25.0,4,tpe
28937.578585030507,24237.87861817885,25.0,5,tpe
29269.779715906323,24237.87861817885,30.0,6,tpe
25985.90596650754,24237.87861817885,40.0,7,tpe
32386.26374287592,24237.87861817885,45.0,8,tpe
28100.27354487949,24237.87861817885,50.0,9,tpe
34008.71709066342,24237.87861817885,60.0,10,tpe
31097.510360104665,24237.87861817885,70.0,11,tpe
37037.27602326466,24237.87861817885,75.0,12,tpe
32043.389072171576,24237.87861817885,80.0,13,tpe
24685.657206260224,24237.87861817885,85.0,14,tpe
27918.30028226214,24237.87861817885,90.0,15,tpe
29592.507919615786,24237.87861817885,95.0,16,tpe
28289.34537069113,24237.87861817885,100.0,17,tpe
26118.2816460358,24237.87861817885,110.0,18,tpe
30450.267002840937,24237.87861817885,115.0,19,tpe
30793.895804020565,24237.87861817885,120.0,20,tpe
27771.396353629225,24237.87861817885,120.0,21,tpe
32373.210598820388,24237.87861817885,125.0,22,tpe
24631.249270777796,24237.87861817885,130.0,23,tpe
25346.912575648497,24237.87861817885,135.0,24,tpe
27664.577567481367,24237.87861817885,140.0,25,tpe
23251.94158173956,23251.94158173956,145.0,26,tpe
22177.593032883487,22177.593032883487,145.0,27,tpe
27249.9897546878,22177.593032883487,150.0,28,tpe
24290.59767423983,22177.593032883487,155.0,29,tpe
27070.630021127075,22177.593032883487,165.0,30,tpe
23446.829591996873,22177.593032883487,170.0,31,tpe
32114.472875272284,22177.593032883487,175.0,32,tpe
29730.591193003307,22177.593032883487,185.0,33,tpe
25029.76502923582,22177.593032883487,190.0,34,tpe
32606.891747760674,22177.593032883487,200.0,35,tpe
25865.990702275743,22177.593032883487,205.0,36,tpe
32977.731236213265,22177.593032883487,210.0,37,tpe
30723.267810024146,22177.593032883487,215.0,38,tpe
27510.17577950891,22177.593032883487,220.0,39,tpe
26656.42067442293,22177.593032883487,225.0,40,tpe
24560.63526577908,22177.593032883487,230.0,41,tpe
33918.872072883845,22177.593032883487,235.0,42,tpe
25170.47703702017,22177.593032883487,245.0,43,tpe
23292.844019097818,22177.593032883487,250.0,44,tpe
30739.238223090644,22177.593032883487,260.0,45,tpe
32863.2894683229,22177.593032883487,265.0,46,tpe
23006.431821573173,22177.593032883487,265.0,47,tpe
33916.093141353216,22177.593032883487,270.0,48,tpe
29774.17751246831,22177.593032883487,280.0,49,tpe
26275.773835645377,22177.593032883487,285.0,50,tpe
31538.196709310087,22177.593032883487,290.0,51,tpe
24260.37874294725,22177.593032883487,295.0,52,tpe
28374.360925121167,22177.593032883487,300.0,53,tpe
28258.968143857284,22177.593032883487,310.0,54,tpe
28280.841843598988,22177.593032883487,315.0,55,tpe
26776.875728890296,22177.593032883487,320.0,56,tpe
31685.60433112436,22177.593032883487,325.0,57,tpe
29762.43629039645,22177.593032883487,330.0,58,tpe
25650.363751126137,22177.593032883487,335.0,59,tpe
26903.05433283904,22177.593032883487,340.0,60,tpe
22325.885497206757,22177.593032883487,345.0,61,tpe
30104.69207187516,22177.593032883487,350.0,62,tpe
27759.36390101286,22177.593032883487,355.0,63,tpe
28540.2312687467,22177.593032883487,360.0,64,tpe
26621.513670312223,22177.593032883487,365.0,65,tpe
26333.17815102499,22177.593032883487,370.0,66,tpe
22916.124849495387,22177.593032883487,375.0,67,tpe
25606.298408544048,22177.593032883487,380.0,68,tpe
22370.817553162156,22177.593032883487,380.0,69,tpe
24236.423953820497,22177.593032883487,385.0,70,tpe
22275.65963114236,22177.593032883487,390.0,71,tpe
26510.653133827705,22177.593032883487,395.0,72,tpe
24160.555180637217,22177.593032883487,405.0,73,tpe
22204.87256000525,22177.593032883487,405.0,74,tpe
25337.05501841128,22177.593032883487,410.0,75,tpe
26975.726020124042,22177.593032883487,415.0,76,tpe
28479.67917347913,22177.593032883487,420.0,77,tpe
28322.407086835137,22177.593032883487,425.0,78,tpe
